Road,Length (km),Segments,Schedule,Monitor,Reinsp. Flags,Mean Severity,Mean Priority,Dom. Class
1,0.255,14,0,14,0,0.009444,0.014287,alligator_crack
10,0.545,33,6,27,8,0.06766,0.128493,pothole
11,0.704,44,5,39,5,0.043143,0.084524,pothole
12,0.652,42,6,36,5,0.081852,0.116496,pothole
13,0.114,6,2,4,2,0.096361,0.186642,alligator_crack
14,0.668,38,0,38,1,0.015501,0.034385,longitudinal_crack
15,0.165,10,0,10,0,0.035028,0.053329,pothole
16,0.321,19,2,17,3,0.034447,0.081516,pothole
17,0.574,37,1,36,1,0.015145,0.032795,pothole
18,0.288,18,11,7,11,0.215269,0.310732,pothole
19,0.229,14,0,14,1,0.019323,0.048163,pothole
2,0.277,13,0,13,0,0.007101,0.018439,pothole
20,1.586,93,5,88,6,0.022007,0.038507,pothole
21,0.881,51,5,46,6,0.031529,0.065974,pothole
22,0.699,44,1,43,1,0.017983,0.033532,pothole
23,0.538,35,1,34,2,0.032032,0.059548,pothole
24,0.861,55,2,53,2,0.010071,0.027543,pothole
25,0.496,30,4,26,5,0.034409,0.094338,alligator_crack
26,0.347,21,4,17,4,0.064132,0.115669,pothole
27,0.663,44,3,41,5,0.032441,0.079308,pothole
28,0.328,19,5,14,6,0.090617,0.146353,pothole
29,0.671,41,8,33,12,0.054404,0.117656,alligator_crack
3,0.304,18,3,15,3,0.042417,0.082165,pothole
30,0.385,16,6,10,7,0.096256,0.208828,alligator_crack
31,0.897,52,9,43,12,0.052389,0.112241,pothole
32,0.458,29,9,20,10,0.10016,0.182955,pothole
4,0.441,27,5,22,5,0.04925,0.093707,alligator_crack
5,2.034,133,5,128,6,0.019148,0.039556,pothole
6,0.528,33,2,31,2,0.021166,0.051832,pothole
7,0.372,22,7,15,9,0.085445,0.192189,pothole
8,0.234,14,8,6,8,0.187445,0.301306,alligator_crack
9,0.192,11,0,11,0,0.027405,0.040581,pothole
