video,road_name,time_of_day,ist_hour,track_length_km,frames_extracted,frames_retained,retention_pct,total_detections,mean_uncertainty,mean_severity,dominant_class,total_segments,urgent,schedule,monitor,reinspection_flags,mean_priority_score
1,1,evening,19.27,0.255,2081,2081,100.0,59,0.002667,0.009444,alligator_crack,14,0,0,14,0,0.014287
10,10,day,15.2,0.545,3404,3404,100.0,993,0.034252,0.06766,pothole,33,0,6,27,8,0.128493
11,11,day,9.42,0.704,4523,4523,100.0,1160,0.049502,0.043143,pothole,44,0,5,39,5,0.084524
12,12,day,9.49,0.652,4501,4501,100.0,1862,0.042134,0.081852,pothole,42,0,6,36,5,0.116496
13,13,day,16.8,0.114,874,874,100.0,236,0.01273,0.096361,alligator_crack,6,0,2,4,2,0.186642
14,14,evening,18.46,0.668,4162,4162,100.0,605,0.02265,0.015501,longitudinal_crack,38,0,0,38,1,0.034385
15,15,evening,18.0,0.165,1313,1313,100.0,311,0.025974,0.035028,pothole,10,0,0,10,0,0.053329
16,16,evening,18.27,0.321,1956,1956,100.0,488,0.053553,0.034447,pothole,19,0,2,17,3,0.081516
17,17,evening,18.29,0.574,3660,3660,100.0,260,0.016756,0.015145,pothole,37,0,1,36,1,0.032795
18,18,evening,18.55,0.288,2541,2541,100.0,4122,0.09358,0.215269,pothole,18,0,11,7,11,0.310732
19,19,evening,18.64,0.229,1510,1510,100.0,127,0.019791,0.019323,pothole,14,0,0,14,1,0.048163
2,2,night,20.91,0.277,1943,1943,100.0,82,0.001959,0.007101,pothole,13,0,0,13,0,0.018439
20,20,day,14.35,1.586,7225,7225,100.0,627,0.025257,0.022007,pothole,93,0,5,88,6,0.038507
21,21,day,14.43,0.881,4120,4120,100.0,555,0.027509,0.031529,pothole,51,0,5,46,6,0.065974
22,22,day,14.5,0.699,3176,3176,100.0,319,0.036102,0.017983,pothole,44,0,1,43,1,0.033532
23,23,day,14.62,0.538,3990,3990,100.0,628,0.020979,0.032032,pothole,35,0,1,34,2,0.059548
24,24,evening,19.04,0.861,6652,6652,100.0,318,0.003592,0.010071,pothole,55,0,2,53,2,0.027543
25,25,day,10.3,0.496,2244,2244,100.0,219,0.012904,0.034409,alligator_crack,30,0,4,26,5,0.094338
26,26,day,17.04,0.347,2021,2021,100.0,718,0.037133,0.064132,pothole,21,0,4,17,4,0.115669
27,27,day,17.1,0.663,4427,4427,100.0,896,0.033854,0.032441,pothole,44,0,3,41,5,0.079308
28,28,day,6.36,0.328,1655,1655,100.0,621,0.042438,0.090617,pothole,19,0,5,14,6,0.146353
29,29,day,6.42,0.671,2865,2865,100.0,515,0.010387,0.054404,alligator_crack,41,0,8,33,12,0.117656
3,3,day,6.25,0.304,2322,2322,100.0,487,0.047504,0.042417,pothole,18,0,3,15,3,0.082165
30,30,day,6.61,0.385,1542,1542,100.0,476,0.023332,0.096256,alligator_crack,16,0,6,10,7,0.208828
31,31,day,6.67,0.897,2913,2913,100.0,642,0.031467,0.052389,pothole,52,0,9,43,12,0.112241
32,32,day,6.79,0.458,2081,2081,100.0,1338,0.062804,0.10016,pothole,29,0,9,20,10,0.182955
4,4,day,6.32,0.441,3315,3315,100.0,598,0.018499,0.04925,alligator_crack,27,0,5,22,5,0.093707
5,5,day,9.33,2.034,10082,10082,100.0,935,0.011499,0.019148,pothole,133,0,5,128,6,0.039556
6,6,day,10.13,0.528,2797,2797,100.0,200,0.009684,0.021166,pothole,33,0,2,31,2,0.051832
7,7,day,16.24,0.372,2589,2589,100.0,1060,0.044048,0.085445,pothole,22,0,7,15,9,0.192189
8,8,day,16.07,0.234,1686,1686,100.0,1132,0.059032,0.187445,alligator_crack,14,0,8,6,8,0.301306
9,9,evening,18.18,0.192,1463,1463,100.0,296,0.039025,0.027405,pothole,11,0,0,11,0,0.040581
