seg_a,seg_b,dist_m
0,1,19.06
0,2,34.25
0,3,49.07
0,4,64.41
0,5,79.24
0,6,94.36
1,2,15.21
1,3,30.06
1,4,45.4
1,5,60.25
1,6,75.37
1,7,90.19
2,3,14.86
2,4,30.2
2,5,45.05
2,6,60.17
2,7,74.99
2,8,88.98
3,4,15.35
3,5,30.19
3,6,45.31
3,7,60.13
3,8,74.13
3,9,88.33
4,5,14.86
4,6,29.97
4,7,44.79
4,8,58.81
4,9,73.01
4,10,88.84
5,6,15.12
5,7,29.94
5,8,43.95
5,9,58.15
5,10,73.98
5,11,87.22
6,7,14.82
6,8,28.87
6,9,43.06
6,10,58.88
6,11,72.12
6,12,88.13
7,8,14.2
7,9,28.3
7,10,44.08
7,11,57.33
7,12,73.36
7,13,87.81
8,9,14.2
8,10,30.06
8,11,43.29
8,12,59.26
8,13,73.68
8,14,88.9
9,10,15.86
9,11,29.08
9,12,45.07
9,13,59.51
9,14,74.73
9,15,89.61
10,11,13.25
10,12,29.32
10,13,43.79
10,14,59.0
10,15,73.9
10,16,89.2
11,12,16.12
11,13,30.59
11,14,45.79
11,15,60.69
11,16,76.0
11,17,90.68
12,13,14.47
12,14,29.68
12,15,44.58
12,16,59.88
12,17,74.56
12,18,85.76
13,14,15.22
13,15,30.11
13,16,45.41
13,17,60.09
13,18,71.3
14,15,14.89
14,16,30.2
14,17,44.9
14,18,56.11
15,16,15.31
15,17,30.04
15,18,41.25
16,17,14.75
16,18,25.95
17,18,11.21
