segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag
0,frame_000000.jpg,frame_000126.jpg,127,0.011161,0.109047,0.033254,0.635967,0.09,0.032714,12.92633414,77.53839171,pothole,low,0
1,frame_000127.jpg,frame_000295.jpg,169,0.007608,0.077325,0.034711,0.782241,0.09,0.023197,12.92636682,77.53826406,pothole,low,0
2,frame_000296.jpg,frame_000413.jpg,118,0.0,0.0,0.0,0.664097,0.0,0.0,12.92629829,77.53817948,none,low,0
3,frame_000414.jpg,frame_000508.jpg,95,0.029737,0.318934,0.039595,0.721131,0.12,0.09568,12.92616207,77.53813547,alligator_crack,low,0
4,frame_000509.jpg,frame_000613.jpg,105,0.006182,0.139051,0.008473,0.640077,0.03,0.041715,12.92603123,77.53810304,pothole,low,0
5,frame_000614.jpg,frame_000716.jpg,103,0.000389,0.013467,0.002609,0.635728,0.01,0.00404,12.92589926,77.5380811,longitudinal_crack,low,0
6,frame_000717.jpg,frame_000816.jpg,100,0.0,0.0,0.0,0.626661,0.0,0.0,12.9257688,77.53804842,none,low,0
7,frame_000817.jpg,frame_000905.jpg,89,3.7e-05,0.001284,0.003582,0.612251,0.01,0.000385,12.9256407,77.53800204,longitudinal_crack,low,0
8,frame_000906.jpg,frame_000994.jpg,89,0.0,0.0,0.0,0.575328,0.0,0.0,12.92551331,77.53795689,none,low,0
9,frame_000995.jpg,frame_001086.jpg,92,0.071585,0.475425,0.067887,0.576198,0.22,0.142628,12.92538308,77.53792051,pothole,low,0
10,frame_001087.jpg,frame_001204.jpg,118,0.085129,0.560256,0.116589,0.592298,0.39,0.168077,12.92524432,77.53789579,pothole,low,1
11,frame_001205.jpg,frame_001363.jpg,159,0.03563,0.349268,0.03678,0.609681,0.1,0.10478,12.92511915,77.537891,alligator_crack,low,0
12,frame_001364.jpg,frame_001481.jpg,118,0.0,0.0,0.0,0.62583,0.0,0.0,12.92498429,77.53789185,none,low,0
13,frame_001482.jpg,frame_001509.jpg,28,0.020926,0.198666,0.030938,0.614632,0.11,0.0596,12.92489594,77.53789416,pothole,low,0
