frame,blur_score,brightness_score,motion_score,reliability
frame_000000.jpg,0.14,1.0,1.0,0.57
frame_000001.jpg,0.1326,1.0,1.0,0.5663
frame_000002.jpg,0.1365,1.0,1.0,0.5683
frame_000003.jpg,0.1387,1.0,1.0,0.5693
frame_000004.jpg,0.1371,1.0,1.0,0.5686
frame_000005.jpg,0.1261,1.0,1.0,0.563
frame_000006.jpg,0.1291,1.0,1.0,0.5646
frame_000007.jpg,0.1383,1.0,1.0,0.5692
frame_000008.jpg,0.1405,1.0,1.0,0.5703
frame_000009.jpg,0.1431,1.0,1.0,0.5715
frame_000010.jpg,0.1459,1.0,1.0,0.573
frame_000011.jpg,0.1442,1.0,1.0,0.5721
frame_000012.jpg,0.1411,1.0,1.0,0.5705
frame_000013.jpg,0.139,1.0,1.0,0.5695
frame_000014.jpg,0.1454,1.0,1.0,0.5727
frame_000015.jpg,0.1378,1.0,1.0,0.5689
frame_000016.jpg,0.1334,1.0,1.0,0.5667
frame_000017.jpg,0.1178,1.0,1.0,0.5589
frame_000018.jpg,0.119,1.0,1.0,0.5595
frame_000019.jpg,0.1177,1.0,1.0,0.5589
frame_000020.jpg,0.1128,1.0,1.0,0.5564
frame_000021.jpg,0.126,1.0,1.0,0.563
frame_000022.jpg,0.1277,1.0,1.0,0.5638
frame_000023.jpg,0.1286,1.0,1.0,0.5643
frame_000024.jpg,0.1289,1.0,1.0,0.5644
frame_000025.jpg,0.1368,1.0,1.0,0.5684
frame_000026.jpg,0.1339,1.0,1.0,0.567
frame_000027.jpg,0.1345,1.0,1.0,0.5672
frame_000028.jpg,0.1273,1.0,1.0,0.5637
frame_000029.jpg,0.0504,1.0,1.0,0.5252
frame_000030.jpg,0.0447,1.0,1.0,0.5224
frame_000031.jpg,0.0271,1.0,1.0,0.5136
frame_000032.jpg,0.0575,1.0,1.0,0.5287
frame_000033.jpg,0.0507,1.0,1.0,0.5254
frame_000034.jpg,0.0795,1.0,1.0,0.5397
frame_000035.jpg,0.0539,1.0,1.0,0.527
frame_000036.jpg,0.0778,1.0,1.0,0.5389
frame_000037.jpg,0.0673,1.0,1.0,0.5336
frame_000038.jpg,0.0603,1.0,1.0,0.5302
frame_000039.jpg,0.0717,1.0,1.0,0.5359
frame_000040.jpg,0.0778,1.0,1.0,0.5389
frame_000041.jpg,0.0651,1.0,1.0,0.5325
frame_000042.jpg,0.0684,1.0,1.0,0.5342
frame_000043.jpg,0.0927,1.0,1.0,0.5463
frame_000044.jpg,0.0651,1.0,1.0,0.5325
frame_000045.jpg,0.0525,1.0,1.0,0.5262
frame_000046.jpg,0.0431,1.0,1.0,0.5216
frame_000047.jpg,0.0382,1.0,1.0,0.5191
frame_000048.jpg,0.0428,1.0,1.0,0.5214
frame_000049.jpg,0.056,1.0,1.0,0.528
frame_000050.jpg,0.047,1.0,1.0,0.5235
frame_000051.jpg,0.037,1.0,1.0,0.5185
frame_000052.jpg,0.0364,1.0,1.0,0.5182
frame_000053.jpg,0.0268,1.0,1.0,0.5134
frame_000054.jpg,0.0322,1.0,1.0,0.5161
frame_000055.jpg,0.033,1.0,1.0,0.5165
frame_000056.jpg,0.0358,1.0,1.0,0.5179
frame_000057.jpg,0.029,1.0,1.0,0.5145
frame_000058.jpg,0.0283,1.0,1.0,0.5141
frame_000059.jpg,0.052,1.0,1.0,0.526
frame_000060.jpg,0.0881,1.0,1.0,0.5441
frame_000061.jpg,0.089,1.0,1.0,0.5445
frame_000062.jpg,0.1143,1.0,1.0,0.5572
frame_000063.jpg,0.1256,1.0,1.0,0.5628
frame_000064.jpg,0.0891,1.0,1.0,0.5446
frame_000065.jpg,0.0877,1.0,1.0,0.5439
frame_000066.jpg,0.0944,1.0,1.0,0.5472
frame_000067.jpg,0.1301,1.0,1.0,0.5651
frame_000068.jpg,0.1418,1.0,1.0,0.5709
frame_000069.jpg,0.1203,1.0,1.0,0.5602
frame_000070.jpg,0.1367,1.0,1.0,0.5684
frame_000071.jpg,0.1705,1.0,1.0,0.5853
frame_000072.jpg,0.176,1.0,1.0,0.588
frame_000073.jpg,0.1503,1.0,1.0,0.5751
frame_000074.jpg,0.1631,1.0,1.0,0.5815
frame_000075.jpg,0.1622,1.0,1.0,0.5811
frame_000076.jpg,0.173,1.0,1.0,0.5865
frame_000077.jpg,0.1828,1.0,1.0,0.5914
frame_000078.jpg,0.1835,1.0,1.0,0.5918
frame_000079.jpg,0.1717,1.0,1.0,0.5859
frame_000080.jpg,0.178,1.0,1.0,0.589
frame_000081.jpg,0.1735,1.0,1.0,0.5867
frame_000082.jpg,0.1789,1.0,1.0,0.5895
frame_000083.jpg,0.1739,1.0,1.0,0.5869
frame_000084.jpg,0.1724,1.0,1.0,0.5862
frame_000085.jpg,0.1607,1.0,1.0,0.5804
frame_000086.jpg,0.1616,1.0,1.0,0.5808
frame_000087.jpg,0.1496,1.0,1.0,0.5748
frame_000088.jpg,0.152,1.0,1.0,0.576
frame_000089.jpg,0.158,1.0,1.0,0.579
frame_000090.jpg,0.1384,1.0,1.0,0.5692
frame_000091.jpg,0.1226,1.0,1.0,0.5613
frame_000092.jpg,0.1464,1.0,1.0,0.5732
frame_000093.jpg,0.1477,1.0,1.0,0.5738
frame_000094.jpg,0.1332,1.0,1.0,0.5666
frame_000095.jpg,0.1324,1.0,1.0,0.5662
frame_000096.jpg,0.1398,1.0,1.0,0.5699
frame_000097.jpg,0.1442,1.0,1.0,0.5721
frame_000098.jpg,0.1461,1.0,1.0,0.5731
frame_000099.jpg,0.1713,1.0,1.0,0.5857
frame_000100.jpg,0.1549,1.0,1.0,0.5775
frame_000101.jpg,0.1588,1.0,1.0,0.5794
frame_000102.jpg,0.1472,1.0,1.0,0.5736
frame_000103.jpg,0.1381,1.0,1.0,0.5691
frame_000104.jpg,0.1473,1.0,1.0,0.5737
frame_000105.jpg,0.1435,1.0,1.0,0.5718
frame_000106.jpg,0.1473,1.0,1.0,0.5736
frame_000107.jpg,0.1434,1.0,1.0,0.5717
frame_000108.jpg,0.1485,1.0,1.0,0.5743
frame_000109.jpg,0.15,1.0,1.0,0.575
frame_000110.jpg,0.1462,1.0,1.0,0.5731
frame_000111.jpg,0.1462,1.0,1.0,0.5731
frame_000112.jpg,0.1432,1.0,1.0,0.5716
frame_000113.jpg,0.1337,1.0,1.0,0.5669
frame_000114.jpg,0.1369,1.0,1.0,0.5684
frame_000115.jpg,0.138,1.0,1.0,0.569
frame_000116.jpg,0.1274,1.0,1.0,0.5637
frame_000117.jpg,0.1181,1.0,1.0,0.559
frame_000118.jpg,0.1216,1.0,1.0,0.5608
frame_000119.jpg,0.1201,1.0,1.0,0.5601
frame_000120.jpg,0.135,1.0,1.0,0.5675
frame_000121.jpg,0.1299,1.0,1.0,0.5649
frame_000122.jpg,0.123,1.0,1.0,0.5615
frame_000123.jpg,0.1215,1.0,1.0,0.5607
frame_000124.jpg,0.1121,1.0,1.0,0.556
frame_000125.jpg,0.114,1.0,1.0,0.557
frame_000126.jpg,0.0918,1.0,1.0,0.5459
frame_000127.jpg,0.1111,1.0,1.0,0.5555
frame_000128.jpg,0.1094,1.0,1.0,0.5547
frame_000129.jpg,0.1013,1.0,1.0,0.5507
frame_000130.jpg,0.0891,1.0,1.0,0.5445
frame_000131.jpg,0.1007,1.0,1.0,0.5504
frame_000132.jpg,0.102,1.0,1.0,0.551
frame_000133.jpg,0.0916,1.0,1.0,0.5458
frame_000134.jpg,0.0813,1.0,1.0,0.5406
frame_000135.jpg,0.073,1.0,1.0,0.5365
frame_000136.jpg,0.0834,1.0,1.0,0.5417
frame_000137.jpg,0.0755,1.0,1.0,0.5377
frame_000138.jpg,0.0843,1.0,1.0,0.5421
frame_000139.jpg,0.064,1.0,1.0,0.532
frame_000140.jpg,0.07,1.0,1.0,0.535
frame_000141.jpg,0.0623,1.0,1.0,0.5312
frame_000142.jpg,0.0564,1.0,1.0,0.5282
frame_000143.jpg,0.0461,1.0,1.0,0.5231
frame_000144.jpg,0.0812,1.0,1.0,0.5406
frame_000145.jpg,0.0732,1.0,1.0,0.5366
frame_000146.jpg,0.0643,1.0,1.0,0.5321
frame_000147.jpg,0.0733,1.0,1.0,0.5367
frame_000148.jpg,0.0714,1.0,1.0,0.5357
frame_000149.jpg,0.0835,1.0,1.0,0.5418
frame_000150.jpg,0.0924,1.0,1.0,0.5462
frame_000151.jpg,0.0687,1.0,1.0,0.5343
frame_000152.jpg,0.0653,1.0,1.0,0.5326
frame_000153.jpg,0.0567,1.0,1.0,0.5284
frame_000154.jpg,0.0594,1.0,1.0,0.5297
frame_000155.jpg,0.0692,1.0,1.0,0.5346
frame_000156.jpg,0.0669,1.0,1.0,0.5334
frame_000157.jpg,0.0598,1.0,1.0,0.5299
frame_000158.jpg,0.0463,1.0,1.0,0.5231
frame_000159.jpg,0.0419,1.0,1.0,0.521
frame_000160.jpg,0.0495,1.0,1.0,0.5247
frame_000161.jpg,0.0448,1.0,1.0,0.5224
frame_000162.jpg,0.0533,1.0,1.0,0.5267
frame_000163.jpg,0.0638,1.0,1.0,0.5319
frame_000164.jpg,0.0589,1.0,1.0,0.5295
frame_000165.jpg,0.0528,1.0,1.0,0.5264
frame_000166.jpg,0.0628,1.0,1.0,0.5314
frame_000167.jpg,0.0741,1.0,1.0,0.5371
frame_000168.jpg,0.0571,1.0,1.0,0.5285
frame_000169.jpg,0.058,1.0,1.0,0.529
frame_000170.jpg,0.0717,1.0,1.0,0.5358
frame_000171.jpg,0.0721,1.0,1.0,0.536
frame_000172.jpg,0.059,1.0,1.0,0.5295
frame_000173.jpg,0.0514,1.0,1.0,0.5257
frame_000174.jpg,0.0564,1.0,1.0,0.5282
