segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag,priority_score,maintenance_action,priority_rank
18,frame_001778.jpg,frame_001872.jpg,95,0.264184,0.586546,0.298106,0.902538,1.31,0.175964,12.93686557,77.56328091,pothole,medium,1,0.422911,schedule,1
19,frame_001873.jpg,frame_001961.jpg,89,0.271168,0.526149,0.324716,0.930226,1.34,0.157845,12.93691883,77.56315766,pothole,medium,1,0.41874,schedule,2
15,frame_001532.jpg,frame_001608.jpg,77,0.184882,0.577092,0.254453,0.918861,0.92,0.173128,12.93672466,77.56367179,longitudinal_crack,low,1,0.365981,schedule,3
8,frame_000816.jpg,frame_000910.jpg,95,0.164549,0.517151,0.244985,0.598653,1.18,0.155145,12.93711879,77.56433132,pothole,low,1,0.342757,schedule,4
6,frame_000591.jpg,frame_000712.jpg,122,0.142665,0.448161,0.398872,0.749603,0.84,0.134448,12.93737024,77.56444635,pothole,low,0,0.16709,monitor,5
9,frame_000911.jpg,frame_001008.jpg,98,0.095407,0.473083,0.145504,0.754656,0.49,0.141925,12.93699342,77.5642789,longitudinal_crack,low,0,0.137747,monitor,6
12,frame_001214.jpg,frame_001320.jpg,107,0.063972,0.40527,0.136214,0.737041,0.32,0.121581,12.93666932,77.56404741,pothole,low,0,0.105571,monitor,7
11,frame_001111.jpg,frame_001213.jpg,103,0.04839,0.393415,0.069814,0.653394,0.19,0.118024,12.93675755,77.56414959,longitudinal_crack,low,0,0.092885,monitor,8
16,frame_001609.jpg,frame_001689.jpg,81,0.053337,0.362498,0.10093,0.897684,0.43,0.108749,12.93678008,77.56354238,pothole,low,0,0.091711,monitor,9
20,frame_001962.jpg,frame_002020.jpg,59,0.033445,0.307112,0.099532,0.88218,0.31,0.092134,12.93696333,77.56304984,pothole,low,0,0.069478,monitor,10
1,frame_000071.jpg,frame_000132.jpg,62,0.012036,0.227918,0.008052,0.855374,0.03,0.068375,12.93762476,77.56499539,alligator_crack,low,0,0.042613,monitor,11
14,frame_001442.jpg,frame_001531.jpg,90,0.01648,0.184514,0.04252,0.753602,0.12,0.055354,12.93666869,77.56380078,longitudinal_crack,low,0,0.039213,monitor,12
10,frame_001009.jpg,frame_001110.jpg,102,0.013097,0.184306,0.029029,0.705875,0.08,0.055292,12.93687023,77.56422549,pothole,low,0,0.036814,monitor,13
7,frame_000713.jpg,frame_000815.jpg,103,0.008084,0.161832,0.007995,0.658529,0.03,0.048549,12.93724365,77.56438665,pothole,low,0,0.029934,monitor,14
2,frame_000133.jpg,frame_000197.jpg,65,0.006,0.155296,0.006455,0.826982,0.02,0.046589,12.93761227,77.56485703,transverse_crack,low,0,0.027494,monitor,15
17,frame_001690.jpg,frame_001777.jpg,88,0.004316,0.12703,0.003321,0.9466,0.01,0.038109,12.93682552,77.56341389,alligator_crack,low,0,0.022076,monitor,16
4,frame_000273.jpg,frame_000434.jpg,162,0.002546,0.075349,0.005813,0.798538,0.02,0.022605,12.93758099,77.56457542,longitudinal_crack,low,0,0.013085,monitor,17
5,frame_000435.jpg,frame_000590.jpg,156,0.000761,0.016141,0.010905,0.697803,0.04,0.004842,12.93749005,77.56450171,longitudinal_crack,low,0,0.002954,monitor,18
3,frame_000198.jpg,frame_000272.jpg,75,0.0,0.0,0.0,0.776935,0.0,0.0,12.93760679,77.56471881,none,low,0,0.0,monitor,19
0,frame_000000.jpg,frame_000070.jpg,71,0.0,0.0,0.0,0.806896,0.0,0.0,12.93763175,77.56513624,none,low,0,0.0,monitor,19
13,frame_001321.jpg,frame_001441.jpg,121,0.0,0.0,0.0,0.920167,0.0,0.0,12.93662353,77.56392069,none,low,0,0.0,monitor,19
